categories,place_name,place_name_link,review_count_x,review_count_link,thumbnail_image,thumbnail_image_alt,thumbnail_image_link,url_x,url_y,review_count_y,rating,review_talk_1,review_talk_2,review_talk_3,address,postcode
Art Galleries,Lux Centre,https://www.tripadvisor.com/Attraction_Review-g186338-d188949-Reviews-Lux_Centre-London_England.html,,,,,,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-oa330-London_England.html#FILTERED_LIST,https://www.tripadvisor.com/Attraction_Review-g186338-d188949-Reviews-Lux_Centre-London_England.html,,,,,,"2 Hoxton Square, London, England","London,"
Art Galleries,Caelt Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188890-Reviews-Caelt_Gallery-London_England.html,,,,,,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-oa330-London_England.html#FILTERED_LIST,https://www.tripadvisor.com/Attraction_Review-g186338-d188890-Reviews-Caelt_Gallery-London_England.html,,,,,,"182 Westbourne Grove, London W11 2RH, England","London W11 2RH,"
Art Galleries,Tryon & Swan Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188866-Reviews-Tryon_Swan_Gallery-London_England.html,,,,,,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-oa330-London_England.html#FILTERED_LIST,https://www.tripadvisor.com/Attraction_Review-g186338-d188866-Reviews-Tryon_Swan_Gallery-London_England.html,,,,,,"23-24 Cork Street, London W1X 1HB, England","London W1X 1HB,"
Art Galleries,Anthony d'Offay Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188854-Reviews-Anthony_d_Offay_Gallery-London_England.html,,,,,,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-oa330-London_England.html#FILTERED_LIST,https://www.tripadvisor.com/Attraction_Review-g186338-d188854-Reviews-Anthony_d_Offay_Gallery-London_England.html,,,,,,"9,21,23-24 Dering Street, London W1R 9AA, England","London W1R 9AA,"
Art Galleries,Pearson Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188144-Reviews-Pearson_Gallery-London_England.html,,,,,,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-oa330-London_England.html#FILTERED_LIST,https://www.tripadvisor.com/Attraction_Review-g186338-d188144-Reviews-Pearson_Gallery-London_England.html,,,,,,"London, England","London,"
Gardens,The Victoria Tower Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d2356422-Reviews-c57-The_Victoria_Tower_Gardens-London_England.html,81 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d2356422-Reviews-c57-The_Victoria_Tower_Gardens-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/03/2c/dd/95/parliament-at-far-end.jpg,The Victoria Tower Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d2356422-Reviews-c57-The_Victoria_Tower_Gardens-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d2356422-Reviews-c57-The_Victoria_Tower_Gardens-London_England.html,81,4.5,“lambeth bridge”,“parliament square”,“memorial fountain”,"Millbank, London SW1P 3SF, England","London SW1P 3SF,"
"Gardens, Parks",Kensington Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-c57-Kensington_Gardens-London_England.html,"3,852 Reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-c57-Kensington_Gardens-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/01/3c/ac/80/kensington-gardens.jpg,Kensington Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-c57-Kensington_Gardens-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-c57-Kensington_Gardens-London_England.html,"3,853",4.5,“hyde park”,“peter pan statue”,“albert memorial”,"The Magazine Storeyard | Magazine Gate, London W2 UH, England","London W2 UH,"
Gardens,Queen Mary's Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d187671-Reviews-c57-Queen_Mary_s_Gardens-London_England.html,124 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d187671-Reviews-c57-Queen_Mary_s_Gardens-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/01/35/06/50/queen-mary-s-garden.jpg,Queen Mary's Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d187671-Reviews-c57-Queen_Mary_s_Gardens-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187671-Reviews-c57-Queen_Mary_s_Gardens-London_England.html,124,4.5,“regents park”,“rose garden”,“inner circle”,"Inner Circle | Regent's Park, London, England","London,"
Gardens,Kyoto Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-c57-Kyoto_Garden-London_England.html,234 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-c57-Kyoto_Garden-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/5e/ad/e6/kyoto-garden.jpg,Kyoto Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-c57-Kyoto_Garden-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-c57-Kyoto_Garden-London_England.html,234,4.5,“japanese garden”,“holland park”,“small waterfall”,"Holland Park, London, England","London,"
"Nature & Wildlife Areas, State Parks",Lee Valley Regional Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211609-Reviews-c57-Lee_Valley_Regional_Park-London_England.html,60 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d211609-Reviews-c57-Lee_Valley_Regional_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/02/84/43/76/explore-lee-valley.jpg,Lee Valley Regional Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211609-Reviews-c57-Lee_Valley_Regional_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d211609-Reviews-c57-Lee_Valley_Regional_Park-London_England.html,60,4.5,“white water rafting”,“waltham abbey”,“wild flowers”,"Lee Hendon Wood Lane | Lee Valley, London NW7 4HS, England","London NW7 4HS,"
"Cemeteries, Nature & Wildlife Areas",Tower Hamlets Cemetery Park,https://www.tripadvisor.com/Attraction_Review-g186338-d1218624-Reviews-c57-Tower_Hamlets_Cemetery_Park-London_England.html,46 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d1218624-Reviews-c57-Tower_Hamlets_Cemetery_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/04/19/35/9e/tower-hamlets-cemetery.jpg,Tower Hamlets Cemetery Park,https://www.tripadvisor.com/Attraction_Review-g186338-d1218624-Reviews-c57-Tower_Hamlets_Cemetery_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d1218624-Reviews-c57-Tower_Hamlets_Cemetery_Park-London_England.html,46,4.5,“mile end”,“wild flowers”,“local nature”,"The Lodge Southern Grove | Mile End, London E3 4PX, England","London E3 4PX,"
Nature & Wildlife Areas,WWT London Wetland Centre,https://www.tripadvisor.com/Attraction_Review-g186338-d187534-Reviews-c57-WWT_London_Wetland_Centre-London_England.html,511 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d187534-Reviews-c57-WWT_London_Wetland_Centre-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/01/c7/af/95/marsh-marigolds-at-wwt.jpg,WWT London Wetland Centre,https://www.tripadvisor.com/Attraction_Review-g186338-d187534-Reviews-c57-WWT_London_Wetland_Centre-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187534-Reviews-c57-WWT_London_Wetland_Centre-London_England.html,511,4.5,“pond dipping”,“bird watching”,“nature reserve”,"London Wetland Centre Queen Elizabeth Walk | Barnes, London SW13 9WT, England","London SW13 9WT,"
"Nature & Wildlife Areas, Parks",Soho Square,https://www.tripadvisor.com/Attraction_Review-g186338-d7906842-Reviews-c57-Soho_Square-London_England.html,106 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d7906842-Reviews-c57-Soho_Square-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/07/cb/01/48/linda-praca.jpg,Soho Square,https://www.tripadvisor.com/Attraction_Review-g186338-d7906842-Reviews-c57-Soho_Square-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d7906842-Reviews-c57-Soho_Square-London_England.html,106,4.0,“charles ii”,“green space”,“tottenham court road station”,"18 Soho Square | Soho Square, London W1D 3QL, England","London W1D 3QL,"
Bodies of Water,Regent's Canal,https://www.tripadvisor.com/Attraction_Review-g186338-d510136-Reviews-c57-Regent_s_Canal-London_England.html,459 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d510136-Reviews-c57-Regent_s_Canal-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/00/10/17/78/arrival-in-camden-lock.jpg,Regent's Canal,https://www.tripadvisor.com/Attraction_Review-g186338-d510136-Reviews-c57-Regent_s_Canal-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d510136-Reviews-c57-Regent_s_Canal-London_England.html,459,4.5,“camden lock”,“little venice”,“camden town”,"42 Blomfield Road, London W9 2PF, England","London W9 2PF,"
Bodies of Water,Tooting Bec Lido,https://www.tripadvisor.com/Attraction_Review-g186338-d3989601-Reviews-c57-Tooting_Bec_Lido-London_England.html,49 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d3989601-Reviews-c57-Tooting_Bec_Lido-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/04/4b/6f/e9/tooting-bec-lido.jpg,Tooting Bec Lido,https://www.tripadvisor.com/Attraction_Review-g186338-d3989601-Reviews-c57-Tooting_Bec_Lido-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d3989601-Reviews-c57-Tooting_Bec_Lido-London_England.html,49,4.0,,,,"Tooting Bec Lido Tooting Bec Road | Tooting Bec Road, London SW16 1RU, England","London SW16 1RU,"
Bodies of Water,Serpentine Boating Lake,https://www.tripadvisor.com/Attraction_Review-g186338-d7276062-Reviews-c57-Serpentine_Boating_Lake-London_England.html,90 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d7276062-Reviews-c57-Serpentine_Boating_Lake-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/fc/c4/49/serpentine-boating-lake.jpg,Serpentine Boating Lake,https://www.tripadvisor.com/Attraction_Review-g186338-d7276062-Reviews-c57-Serpentine_Boating_Lake-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d7276062-Reviews-c57-Serpentine_Boating_Lake-London_England.html,90,4.0,“hyde park”,“kensington gardens”,“large lake”,"The Old Police House Hyde Park | Hyde Park, Serpentine Road, London W2 2UH, England","London W2 2UH,"
Bodies of Water,Highgate Bathing Pond,https://www.tripadvisor.com/Attraction_Review-g186338-d548813-Reviews-c57-Highgate_Bathing_Pond-London_England.html,20 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d548813-Reviews-c57-Highgate_Bathing_Pond-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/04/4e/09/dc/highgate-bathing-pond.jpg,Highgate Bathing Pond,https://www.tripadvisor.com/Attraction_Review-g186338-d548813-Reviews-c57-Highgate_Bathing_Pond-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d548813-Reviews-c57-Highgate_Bathing_Pond-London_England.html,20,4.0,,,,"Millfield Lane | Hampstead Heath, London N6, England","London N6,"
"Neighborhoods, Parks",Primrose Hill,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-c57-Primrose_Hill-London_England.html,"1,886 Reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-c57-Primrose_Hill-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/02/27/e1/88/the-view-from-primrose.jpg,Primrose Hill,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-c57-Primrose_Hill-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-c57-Primrose_Hill-London_England.html,"1,886",4.5,“regents park”,“london skyline”,“chalk farm”,"Primrose Hill Road, London NW3, England","London NW3,"
Parks,Waterlow Park,https://www.tripadvisor.com/Attraction_Review-g186338-d10697094-Reviews-c57-Waterlow_Park-London_England.html,26 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d10697094-Reviews-c57-Waterlow_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/0c/79/45/cf/cartello-informativo.jpg,Waterlow Park,https://www.tripadvisor.com/Attraction_Review-g186338-d10697094-Reviews-c57-Waterlow_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d10697094-Reviews-c57-Waterlow_Park-London_England.html,26,4.5,“highgate cemetery”,“different areas”,“sir”,"Waterlow Park 5 130 Highgate Hill, London N6 Swains Lane, London N6 6PL, England","London N6 6PL,"
Parks,Blackheath,https://www.tripadvisor.com/Attraction_Review-g186338-d1952520-Reviews-c57-Blackheath-London_England.html,70 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d1952520-Reviews-c57-Blackheath-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/02/40/57/f3/all-saints-church-on.jpg,Blackheath,https://www.tripadvisor.com/Attraction_Review-g186338-d1952520-Reviews-c57-Blackheath-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d1952520-Reviews-c57-Blackheath-London_England.html,70,4.0,“greenwich park”,“estate agents”,“cafe rouge”,"London, England","London,"
Parks,Queen's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d3492215-Reviews-c57-Queen_s_Park-London_England.html,22 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d3492215-Reviews-c57-Queen_s_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/a4/d8/6f/queen-s-park.jpg,Queen's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d3492215-Reviews-c57-Queen_s_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d3492215-Reviews-c57-Queen_s_Park-London_England.html,22,4.5,,,,"Queens Park Pavilion Harvist Road | Milman Road, London NW6 6SG, England","London NW6 6SG,"
Parks,St. James's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html,"15,246 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/06/0a/44/c3/st-james-s-park.jpg,St. James's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html,"15,256",4.5,“buckingham palace”,“horse guards parade”,“bird life”,"Horse Guards Road | The Storeyard, London SW1A 2BJ, England","London SW1A 2BJ,"
Parks,Hyde Park,https://www.tripadvisor.com/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html,"17,153 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/05/3b/37/be/caption.jpg,Hyde Park,https://www.tripadvisor.com/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html,"17,162",4.5,“winter wonderland”,“speakers corner”,“serpentine lake”,"London W2 2UH, England","London W2 2UH,"
Castles,Buckingham Palace,https://www.tripadvisor.com/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html,"23,028 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/06/66/e3/2b/buckingham-palace.jpg,Buckingham Palace,https://www.tripadvisor.com/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html,"23,037",4.5,“state rooms”,“queens gallery”,“throne room”,"Buckingham Palace Road, London SW1A 1AA, England","London SW1A 1AA,"
Parks,Regent's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d187675-Reviews-Regent_s_Park-London_England.html,"5,539 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187675-Reviews-Regent_s_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/0e/93/07/f3/regentspark.jpg,Regent's Park,https://www.tripadvisor.com/Attraction_Review-g186338-d187675-Reviews-Regent_s_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187675-Reviews-Regent_s_Park-London_England.html,"5,542",4.5,“london zoo”,“rose garden”,“boating lake”,"Chester Road, London NW1 4NR, England","London NW1 4NR,"
Nature & Wildlife Areas,Hampstead Heath,https://www.tripadvisor.com/Attraction_Review-g186338-d211768-Reviews-Hampstead_Heath-London_England.html,"1,397 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d211768-Reviews-Hampstead_Heath-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/01/80/2a/b1/hampstead-heath.jpg,Hampstead Heath,https://www.tripadvisor.com/Attraction_Review-g186338-d211768-Reviews-Hampstead_Heath-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d211768-Reviews-Hampstead_Heath-London_England.html,"1,398",4.5,“kenwood house”,“parliament hill”,“dog walkers”,"Hampstead Lane | Jcn of East Heath Road, London NW3 7JP, England","London NW3 7JP,"
Parks,Greenwich Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211600-Reviews-Greenwich_Park-London_England.html,"2,667 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d211600-Reviews-Greenwich_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/01/40/2e/fa/greenwich-park.jpg,Greenwich Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211600-Reviews-Greenwich_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d211600-Reviews-Greenwich_Park-London_England.html,"2,669",4.5,“royal observatory”,“maritime museum”,“cutty sark”,"Greenwich Park, London SE10 8QY, England","London SE10 8QY,"
Gardens,Kensington Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-Kensington_Gardens-London_England.html,"3,852 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-Kensington_Gardens-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/01/3c/ac/80/kensington-gardens.jpg,Kensington Gardens,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-Kensington_Gardens-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d188893-Reviews-Kensington_Gardens-London_England.html,"3,853",4.5,“hyde park”,“peter pan statue”,“albert memorial”,"The Magazine Storeyard | Magazine Gate, London W2 UH, England","London W2 UH,"
Neighborhoods,Holland Park,https://www.tripadvisor.com/Attraction_Review-g186338-d187683-Reviews-Holland_Park-London_England.html,"1,382 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187683-Reviews-Holland_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/02/1a/af/68/holland-park.jpg,Holland Park,https://www.tripadvisor.com/Attraction_Review-g186338-d187683-Reviews-Holland_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187683-Reviews-Holland_Park-London_England.html,"1,382",4.5,“japanese garden”,“kyoto garden”,“kensington high street”,"| Kensington-Chelsea, London, England","London,"
Neighborhoods,Primrose Hill,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-Primrose_Hill-London_England.html,"1,886 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-Primrose_Hill-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/02/27/e1/88/the-view-from-primrose.jpg,Primrose Hill,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-Primrose_Hill-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d2464189-Reviews-Primrose_Hill-London_England.html,"1,886",4.5,“regents park”,“london skyline”,“chalk farm”,"Primrose Hill Road, London NW3, England","London NW3,"
Gardens,Chelsea Physic Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d211852-Reviews-Chelsea_Physic_Garden-London_England.html,471 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d211852-Reviews-Chelsea_Physic_Garden-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/01/b0/d8/f2/not-too-small-a-garden.jpg,Chelsea Physic Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d211852-Reviews-Chelsea_Physic_Garden-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d211852-Reviews-Chelsea_Physic_Garden-London_England.html,473,4.5,“medicinal plants”,“tangerine dream”,“botanical gardens”,"66 Royal Hospital Road, London SW3 4HS, England","London SW3 4HS,"
Parks,Battersea Park,https://www.tripadvisor.com/Attraction_Review-g186338-d2494059-Reviews-Battersea_Park-London_England.html,421 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d2494059-Reviews-Battersea_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-i/0f/20/e9/f6/sit-and-relax.jpg,Battersea Park,https://www.tripadvisor.com/Attraction_Review-g186338-d2494059-Reviews-Battersea_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d2494059-Reviews-Battersea_Park-London_England.html,421,4.5,“go ape”,“children's zoo”,“boating lake”,"Albert Park Bridge Road, London SW11 4NJ, England","London SW11 4NJ,"
Playgrounds,Diana Princess of Wales Memorial Playground,https://www.tripadvisor.com/Attraction_Review-g186338-d188121-Reviews-Diana_Princess_of_Wales_Memorial_Playground-London_England.html,751 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d188121-Reviews-Diana_Princess_of_Wales_Memorial_Playground-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/01/db/7d/87/the-ship.jpg,Diana Princess of Wales Memorial Playground,https://www.tripadvisor.com/Attraction_Review-g186338-d188121-Reviews-Diana_Princess_of_Wales_Memorial_Playground-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d188121-Reviews-Diana_Princess_of_Wales_Memorial_Playground-London_England.html,752,4.5,“kensington gardens”,“peter pan”,“all ages”,"| next to her Kensington Palace home, London W2 3XA, England","London W2 3XA,"
Piers & Boardwalks,St. Katharine Docks,https://www.tripadvisor.com/Attraction_Review-g186338-d2227746-Reviews-St_Katharine_Docks-London_England.html,547 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d2227746-Reviews-St_Katharine_Docks-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/0b/32/ff/94/st-katharine-docks.jpg,St. Katharine Docks,https://www.tripadvisor.com/Attraction_Review-g186338-d2227746-Reviews-St_Katharine_Docks-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d2227746-Reviews-St_Katharine_Docks-London_England.html,547,4.5,“dickens inn”,“tower bridge”,“expensive yachts”,"50 St. Katharines Way | St Katherine's & Wapping, London E1W 1LA, England","London E1W 1LA,"
Parks,Victoria Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211742-Reviews-Victoria_Park-London_England.html,204 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d211742-Reviews-Victoria_Park-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-i/0e/3d/ea/b6/victoria-park.jpg,Victoria Park,https://www.tripadvisor.com/Attraction_Review-g186338-d211742-Reviews-Victoria_Park-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d211742-Reviews-Victoria_Park-London_England.html,204,4.5,“mile end”,“tower hamlets”,“boating lake”,"Old Ford Road | Bow, London E3 5TG, England","London E3 5TG,"
Gardens,Kyoto Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-Kyoto_Garden-London_England.html,234 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-Kyoto_Garden-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/5e/ad/e6/kyoto-garden.jpg,Kyoto Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-Kyoto_Garden-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d7379922-Reviews-Kyoto_Garden-London_England.html,234,4.5,“japanese garden”,“holland park”,“small waterfall”,"Holland Park, London, England","London,"
Bodies of Water,Thames River,https://www.tripadvisor.com/Attraction_Review-g186338-d523725-Reviews-Thames_River-London_England.html,"2,501 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d523725-Reviews-Thames_River-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-i/0f/45/7c/94/london-s-eye.jpg,Thames River,https://www.tripadvisor.com/Attraction_Review-g186338-d523725-Reviews-Thames_River-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c57-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d523725-Reviews-Thames_River-London_England.html,"2,502",4.5,“tower bridge”,“london eye”,“south bank”,"London, England","London,"
